date,price,type,Continuous-target,class-target
16/03/2016,201.6,open,1.74,1
16/03/2016,203.34,close,-0.1,0
17/03/2016,203.24,open,1.39,1
17/03/2016,204.63,close,-0.46,0
18/03/2016,204.17,open,0.21,1
18/03/2016,204.38,close,-0.31,0
21/03/2016,204.07,open,0.6,1
21/03/2016,204.67,close,-0.91,0
22/03/2016,203.76,open,0.8,1
22/03/2016,204.56,close,-0.45,0
23/03/2016,204.11,open,-0.9008,0
23/03/2016,203.2092,close,-1.2092,0
24/03/2016,202,open,1.12,1
24/03/2016,203.12,close,0.49,1
28/03/2016,203.61,open,-0.37,0
28/03/2016,203.24,close,-0.48,0
29/03/2016,202.76,open,2.3608,1
29/03/2016,205.1208,close,1.1792,1
30/03/2016,206.3,open,-0.28,0
30/03/2016,206.02,close,-0.11,0
31/03/2016,205.91,open,-0.39,0
31/03/2016,205.52,close,-1.17,0
01/04/2016,204.35,open,2.57,1
01/04/2016,206.92,close,-0.09,0
04/04/2016,206.83,open,-0.58,0
04/04/2016,206.25,close,-1.58,0
05/04/2016,204.67,open,-0.4808,0
05/04/2016,204.1892,close,0.1008,1
06/04/2016,204.29,open,2.13,1
06/04/2016,206.42,close,-1.28,0
07/04/2016,205.14,open,-1.19,0
07/04/2016,203.95,close,1.39,1
08/04/2016,205.34,open,-0.8408,0
08/04/2016,204.4992,close,0.7508,1
11/04/2016,205.25,open,-1.2299,0
11/04/2016,204.0201,close,0.1999,1
12/04/2016,204.22,open,1.7,1
12/04/2016,205.92,close,1.08,1
13/04/2016,207,open,1.0008,1
13/04/2016,208.0008,close,0.0692,1
14/04/2016,208.07,open,-0.06,0
14/04/2016,208.01,close,0,1
15/04/2016,208.01,open,-0.23,0
15/04/2016,207.78,close,-0.64,0
18/04/2016,207.14,open,2.0992,1
18/04/2016,209.2392,close,0.5008,1
19/04/2016,209.74,open,0.16,1
19/04/2016,209.9,close,0.05,1
20/04/2016,209.95,open,0.15,1
20/04/2016,210.1,close,0.02,1
21/04/2016,210.12,open,-1.15,0
21/04/2016,208.97,close,-0.42,0
22/04/2016,208.55,open,0.42,1
22/04/2016,208.97,close,-0.71,0
25/04/2016,208.26,open,0.35,1
25/04/2016,208.61,close,0.43,1
26/04/2016,209.04,open,-0.1208,0
26/04/2016,208.9192,close,-0.4492,0
27/04/2016,208.47,open,0.88,1
27/04/2016,209.35,close,-0.89,0
28/04/2016,208.46,open,-1.0125,0
28/04/2016,207.4475,close,-0.7275,0
29/04/2016,206.72,open,-0.3892,0
29/04/2016,206.3308,close,0.5892,1
02/05/2016,206.92,open,1.05,1
02/05/2016,207.97,close,-1.45,0
03/05/2016,206.52,open,-0.3608,0
03/05/2016,206.1592,close,-1.1692,0
04/05/2016,204.99,open,0.02,1
04/05/2016,205.01,close,0.55,1
05/05/2016,205.56,open,-0.59,0
05/05/2016,204.97,close,-0.89,0
06/05/2016,204.08,open,1.64,1
06/05/2016,205.72,close,-0.17,0
09/05/2016,205.55,open,0.3392,1
09/05/2016,205.8892,close,0.8208,1
10/05/2016,206.71,open,1.74,1
10/05/2016,208.45,close,-0.54,0
11/05/2016,207.91,open,-1.41,0
11/05/2016,206.5,close,0.79,1
12/05/2016,207.29,open,-0.73,0
12/05/2016,206.56,close,-0.35,0
13/05/2016,206.21,open,-1.45,0
13/05/2016,204.76,close,0.2,1
16/05/2016,204.96,open,1.82,1
16/05/2016,206.78,close,-0.32,0
17/05/2016,206.46,open,-1.6092,0
17/05/2016,204.8508,close,-0.4108,0
18/05/2016,204.44,open,0.47,1
18/05/2016,204.91,close,-0.87,0
19/05/2016,204.04,open,0.16,1
19/05/2016,204.2,close,0.72,1
20/05/2016,204.92,open,0.57,1
20/05/2016,205.49,close,0.02,1
23/05/2016,205.51,open,-0.3,0
23/05/2016,205.21,close,0.96,1
24/05/2016,206.17,open,1.7,1
24/05/2016,207.87,close,0.8,1
25/05/2016,208.67,open,0.61,1
25/05/2016,209.28,close,0.16,1
26/05/2016,209.44,open,-0.1,0
26/05/2016,209.34,close,0.19,1
27/05/2016,209.53,open,0.71,1
27/05/2016,210.24,close,0.32,1
31/05/2016,210.56,open,-0.72,0
31/05/2016,209.84,close,-0.72,0
01/06/2016,209.12,open,1.15,1
01/06/2016,210.27,close,-0.47,0
02/06/2016,209.8,open,1.11,1
02/06/2016,210.91,close,-0.66,0
03/06/2016,210.25,open,0.03,1
03/06/2016,210.28,close,0.42,1
06/06/2016,210.7,open,0.65,1
06/06/2016,211.35,close,0.175,1
07/06/2016,211.525,open,0.155,1
07/06/2016,211.68,close,0.16,1
08/06/2016,211.84,open,0.53,1
08/06/2016,212.37,close,-0.86,0
09/06/2016,211.51,open,0.57,1
09/06/2016,212.08,close,-1.62,0
10/06/2016,210.46,open,-0.39,0
10/06/2016,210.07,close,-0.71,0
13/06/2016,209.36,open,-0.9108,0
13/06/2016,208.4492,close,-0.4492,0
14/06/2016,208,open,0.04,1
14/06/2016,208.04,close,0.5,1
15/06/2016,208.54,open,-0.79,0
15/06/2016,207.75,close,-1.02,0
16/06/2016,206.73,open,1.64,1
16/06/2016,208.37,close,-1.19,0
17/06/2016,207.18,open,-0.66,0
17/06/2016,206.52,close,2.3,1
20/06/2016,208.82,open,-0.97,0
20/06/2016,207.85,close,0.45,1
21/06/2016,208.3,open,0.14,1
21/06/2016,208.44,close,0.21,1
22/06/2016,208.65,open,-0.55,0
22/06/2016,208.1,close,1.71,1
23/06/2016,209.81,open,1,1
23/06/2016,210.81,close,-7.18,0
24/06/2016,203.63,open,-0.3875,0
24/06/2016,203.2425,close,-1.6525,0
27/06/2016,201.59,open,-1.99,0
27/06/2016,199.6,close,1.88,1
28/06/2016,201.48,open,1.7197,1
28/06/2016,203.1997,close,1.6203,1
29/06/2016,204.82,open,1.84,1
29/06/2016,206.66,close,0.55,1
30/06/2016,207.21,open,2.265,1
30/06/2016,209.475,close,-0.115,0
01/07/2016,209.36,open,0.5608,1
01/07/2016,209.9208,close,-0.9708,0
05/07/2016,208.95,open,-0.54,0
05/07/2016,208.41,close,-0.58,0
06/07/2016,207.83,open,1.83,1
06/07/2016,209.66,close,0.21,1
07/07/2016,209.87,open,-0.344,0
07/07/2016,209.526,close,1.524,1
08/07/2016,211.05,open,1.6,1
08/07/2016,212.65,close,0.54,1
11/07/2016,213.19,open,0.21,1
11/07/2016,213.4,close,1.13,1
12/07/2016,214.53,open,0.42,1
12/07/2016,214.95,close,0.49,1
13/07/2016,215.44,open,-0.52,0
13/07/2016,214.92,close,1.48,1
14/07/2016,216.4,open,-0.28,0
14/07/2016,216.12,close,0.66,1
15/07/2016,216.78,open,-0.95,0
15/07/2016,215.83,close,0.14,1
18/07/2016,215.97,open,0.4392,1
18/07/2016,216.4092,close,-0.4992,0
19/07/2016,215.91,open,0.28,1
19/07/2016,216.19,close,0.56,1
20/07/2016,216.75,open,0.335,1
20/07/2016,217.085,close,-0.115,0
21/07/2016,216.97,open,-0.705,0
21/07/2016,216.265,close,0.145,1
22/07/2016,216.41,open,0.83,1
22/07/2016,217.24,close,-0.24,0
25/07/2016,217,open,-0.35,0
25/07/2016,216.65,close,-0.12,0
26/07/2016,216.53,open,0.22,1
26/07/2016,216.75,close,0.44,1
27/07/2016,217.19,open,-0.67,0
27/07/2016,216.52,close,-0.23,0
28/07/2016,216.29,open,0.48,1
28/07/2016,216.77,close,-0.31,0
29/07/2016,216.46,open,0.66,1
29/07/2016,217.12,close,0.07,1
01/08/2016,217.19,open,-0.25,0
01/08/2016,216.94,close,-0.29,0
02/08/2016,216.65,open,-1.1008,0
02/08/2016,215.5492,close,-0.0692,0
03/08/2016,215.48,open,0.7,1
03/08/2016,216.18,close,0.13,1
04/08/2016,216.31,open,0.0997,1
04/08/2016,216.4097,close,0.8003,1
05/08/2016,217.21,open,0.97,1
05/08/2016,218.18,close,0.22,1
08/08/2016,218.4,open,-0.35,0
08/08/2016,218.05,close,0.08,1
09/08/2016,218.13,open,0.05,1
09/08/2016,218.18,close,0.13,1
10/08/2016,218.31,open,-0.67,0
10/08/2016,217.64,close,0.62,1
11/08/2016,218.26,open,0.39,1
11/08/2016,218.65,close,-0.36,0
12/08/2016,218.29,open,0.17,1
12/08/2016,218.46,close,0.43,1
15/08/2016,218.89,open,0.2,1
15/08/2016,219.09,close,-0.49,0
16/08/2016,218.6,open,-0.64,0
16/08/2016,217.96,close,0.04,1
17/08/2016,218,open,0.37,1
17/08/2016,218.37,close,-0.03,0
18/08/2016,218.34,open,0.52,1
18/08/2016,218.86,close,-0.55,0
19/08/2016,218.31,open,0.23,1
19/08/2016,218.54,close,-0.26,0
22/08/2016,218.28,open,0.25,1
22/08/2016,218.53,close,0.72,1
23/08/2016,219.25,open,-0.28,0
23/08/2016,218.97,close,-0.17,0
24/08/2016,218.8,open,-0.95,0
24/08/2016,217.85,close,-0.45,0
25/08/2016,217.4,open,0.3,1
25/08/2016,217.7,close,0.22,1
26/08/2016,217.92,open,-0.63,0
26/08/2016,217.29,close,0.15,1
29/08/2016,217.44,open,0.9208,1
29/08/2016,218.3608,close,-0.1008,0
30/08/2016,218.26,open,-0.26,0
30/08/2016,218,close,-0.39,0
31/08/2016,217.61,open,-0.23,0
31/08/2016,217.38,close,-0.01,0
01/09/2016,217.37,open,0.02,1
01/09/2016,217.39,close,1,1
02/09/2016,218.39,open,-0.02,0
02/09/2016,218.37,close,0.32,1
06/09/2016,218.69,open,0.3408,1
06/09/2016,219.0308,close,-0.1908,0
07/09/2016,218.84,open,0.17,1
07/09/2016,219.01,close,-0.39,0
08/09/2016,218.62,open,-0.11,0
08/09/2016,218.51,close,-1.54,0
09/09/2016,216.97,open,-3.69,0
09/09/2016,213.28,close,-0.89,0
12/09/2016,212.39,open,3.95,1
12/09/2016,216.34,close,-1.5,0
13/09/2016,214.84,open,-1.61,0
13/09/2016,213.23,close,0.06,1
14/09/2016,213.29,open,-0.16,0
14/09/2016,213.13,close,-0.17,0
15/09/2016,212.96,open,2.31,1
15/09/2016,215.27,close,-1.79,0
16/09/2016,213.48,open,-0.12,0
16/09/2016,213.36,close,0.77,1
19/09/2016,214.13,open,-0.7308,0
19/09/2016,213.3992,close,1.0108,1
20/09/2016,214.41,open,-0.96,0
20/09/2016,213.45,close,0.79,1
21/09/2016,214.24,open,1.54,1
21/09/2016,215.78,close,1.22,1
22/09/2016,217,open,0.18,1
22/09/2016,217.18,close,-0.46,0
23/09/2016,216.72,open,-0.7,0
23/09/2016,216.02,close,-0.97,0
26/09/2016,215.05,open,-0.85,0
26/09/2016,214.2,close,-0.15,0
27/09/2016,214.05,open,1.51,1
27/09/2016,215.56,close,0.27,1
28/09/2016,215.83,open,0.79,1
28/09/2016,216.62,close,-0.22,0
29/09/2016,216.4,open,-1.65,0
29/09/2016,214.75,close,0.9,1
30/09/2016,215.65,open,0.7,1
30/09/2016,216.35,close,-0.53,0
03/10/2016,215.82,open,-0.12,0
03/10/2016,215.7,close,0.21,1
04/10/2016,215.91,open,-1.26,0
04/10/2016,214.65,close,0.76,1
05/10/2016,215.41,open,0.25,1
05/10/2016,215.66,close,-0.29,0
06/10/2016,215.37,open,0.46,1
06/10/2016,215.83,close,0.27,1
07/10/2016,216.1,open,-1.07,0
07/10/2016,215.03,close,1.12,1
10/10/2016,216.15,open,-0.0692,0
10/10/2016,216.0808,close,-0.4208,0
11/10/2016,215.66,open,-2.22,0
11/10/2016,213.44,close,0.15,1
12/10/2016,213.59,open,0.08,1
12/10/2016,213.67,close,-1.51,0
13/10/2016,212.16,open,0.91,1
13/10/2016,213.07,close,1.08,1
14/10/2016,214.15,open,-1.09,0
14/10/2016,213.06,close,0.03,1
17/10/2016,213.09,open,-0.66,0
17/10/2016,212.43,close,1.83,1
18/10/2016,214.26,open,-0.59,0
18/10/2016,213.67,close,0.35,1
19/10/2016,214.02,open,0.2003,1
19/10/2016,214.2203,close,-0.3503,0
20/10/2016,213.87,open,0.03,1
20/10/2016,213.9,close,-0.94,0
21/10/2016,212.96,open,0.93,1
21/10/2016,213.89,close,1.11,1
24/10/2016,215,open,-0.14,0
24/10/2016,214.86,close,-0.18,0
25/10/2016,214.68,open,-0.49,0
25/10/2016,214.19,close,-0.98,0
26/10/2016,213.21,open,0.54,1
26/10/2016,213.75,close,0.83,1
27/10/2016,214.58,open,-1.405,0
27/10/2016,213.175,close,-0.035,0
28/10/2016,213.14,open,-0.64,0
28/10/2016,212.5,close,0.43,1
31/10/2016,212.93,open,-0.37,0
31/10/2016,212.56,close,0.37,1
01/11/2016,212.93,open,-1.91,0
01/11/2016,211.02,close,-0.37,0
02/11/2016,210.65,open,-0.94,0
02/11/2016,209.71,close,0.27,1
03/11/2016,209.98,open,-1.14,0
03/11/2016,208.84,close,0.07,1
04/11/2016,208.91,open,-0.35,0
04/11/2016,208.56,close,2.89,1
07/11/2016,211.45,open,1.04,1
07/11/2016,212.49,close,0.2,1
08/11/2016,212.69,open,1.35,1
08/11/2016,214.04,close,-1.67,0
09/11/2016,212.37,open,4.0092,1
09/11/2016,216.3792,close,0.9208,1
10/11/2016,217.3,open,-0.36,0
10/11/2016,216.94,close,-0.85,0
11/11/2016,216.09,open,0.36,1
11/11/2016,216.45,close,0.58,1
14/11/2016,217.03,open,-0.46,0
14/11/2016,216.57,close,0.46,1
15/11/2016,217.03,open,1.22,1
15/11/2016,218.25,close,-0.69,0
16/11/2016,217.56,open,0.3792,1
16/11/2016,217.9392,close,0.1108,1
17/11/2016,218.05,open,0.89,1
17/11/2016,218.94,close,0.13,1
18/11/2016,219.07,open,-0.59,0
18/11/2016,218.48,close,0.69,1
21/11/2016,219.17,open,0.95,1
21/11/2016,220.12,close,0.39,1
22/11/2016,220.51,open,0.06,1
22/11/2016,220.57,close,-0.59,0
23/11/2016,219.98,open,0.73,1
23/11/2016,220.71,close,0.39,1
25/11/2016,221.1,open,0.42,1
25/11/2016,221.52,close,-0.36,0
28/11/2016,221.16,open,-0.62,0
28/11/2016,220.54,close,-0.02,0
29/11/2016,220.52,open,0.36,1
29/11/2016,220.88,close,0.75,1
30/11/2016,221.63,open,-1.24,0
30/11/2016,220.39,close,0.34,1
01/12/2016,220.73,open,-1.1692,0
01/12/2016,219.5608,close,0.1092,1
02/12/2016,219.67,open,-0.0592,0
02/12/2016,219.6108,close,1.0492,1
05/12/2016,220.66,open,0.28,1
05/12/2016,220.94,close,0.28,1
06/12/2016,221.22,open,0.44,1
06/12/2016,221.66,close,-0.14,0
07/12/2016,221.52,open,3.03,1
07/12/2016,224.55,close,0.02,1
08/12/2016,224.57,open,0.56,1
08/12/2016,225.13,close,0.28,1
09/12/2016,225.41,open,1.12,1
09/12/2016,226.53,close,-0.13,0
12/12/2016,226.4,open,-0.18,0
12/12/2016,226.22,close,0.8,1
13/12/2016,227.02,open,0.67,1
13/12/2016,227.69,close,-0.28,0
14/12/2016,227.41,open,-1.49,0
14/12/2016,225.92,close,0.24,1
15/12/2016,226.16,open,0.61,1
15/12/2016,226.77,close,-0.77,0
16/12/2016,226,open,-0.95,0
16/12/2016,225.05,close,0.2,1
19/12/2016,225.25,open,0.25,1
19/12/2016,225.5,close,0.65,1
20/12/2016,226.15,open,0.23,1
20/12/2016,226.38,close,-0.13,0
21/12/2016,226.25,open,-0.4597,0
21/12/2016,225.7903,close,-0.1903,0
22/12/2016,225.6,open,-0.16,0
22/12/2016,225.44,close,-0.01,0
23/12/2016,225.43,open,0.27,1
23/12/2016,225.7,close,0.32,1
27/12/2016,226.02,open,0.23,1
27/12/2016,226.25,close,0.32,1
28/12/2016,226.57,open,-2.14,0
28/12/2016,224.43,close,0.05,1
29/12/2016,224.48,open,-0.15,0
29/12/2016,224.33,close,0.4,1
30/12/2016,224.73,open,-1.21,0
30/12/2016,223.52,close,1.52,1
03/01/2017,225.04,open,0.1,1
03/01/2017,225.14,close,0.48,1
04/01/2017,225.62,open,0.91,1
04/01/2017,226.53,close,-0.26,0
05/01/2017,226.27,open,0.07,1
05/01/2017,226.34,close,0.19,1
06/01/2017,226.53,open,0.72,1
06/01/2017,227.25,close,-0.34,0
09/01/2017,226.91,open,-0.39,0
09/01/2017,226.52,close,-0.04,0
10/01/2017,226.48,open,0,1
10/01/2017,226.48,close,-0.12,0
11/01/2017,226.36,open,0.6708,1
11/01/2017,227.0308,close,-0.5308,0
12/01/2017,226.5,open,0.0508,1
12/01/2017,226.5508,close,0.1792,1
13/01/2017,226.73,open,0.31,1
13/01/2017,227.04,close,-0.73,0
17/01/2017,226.31,open,-0.03,0
17/01/2017,226.28,close,0.255,1
18/01/2017,226.535,open,0.215,1
18/01/2017,226.75,close,0.09,1
19/01/2017,226.84,open,-0.83,0
19/01/2017,226.01,close,0.69,1
20/01/2017,226.7,open,0.04,1
20/01/2017,226.74,close,-0.39,0
23/01/2017,226.35,open,-0.18,0
23/01/2017,226.17,close,0.23,1
24/01/2017,226.4,open,1.2008,1
24/01/2017,227.6008,close,1.0992,1
25/01/2017,228.7,open,0.85,1
25/01/2017,229.55,close,-0.15,0
26/01/2017,229.4,open,-0.07,0
26/01/2017,229.33,close,0.09,1
27/01/2017,229.42,open,-0.43,0
27/01/2017,228.99,close,-0.82,0
30/01/2017,228.17,open,-0.57,0
30/01/2017,227.6,close,-0.62,0
31/01/2017,226.98,open,0.53,1
31/01/2017,227.51,close,0.745,1
01/02/2017,228.255,open,-0.605,0
01/02/2017,227.65,close,-0.45,0
02/02/2017,227.2,open,0.57,1
02/02/2017,227.77,close,1.05,1
03/02/2017,228.82,open,0.53,1
03/02/2017,229.35,close,-0.48,0
06/02/2017,228.87,open,0.1,1
06/02/2017,228.97,close,0.41,1
07/02/2017,229.38,open,-0.42,0
07/02/2017,228.96,close,-0.35,0
08/02/2017,228.61,open,0.63,1
08/02/2017,229.24,close,0.32,1
09/02/2017,229.56,open,1.01,1
09/02/2017,230.57,close,0.43,1
10/02/2017,231,open,0.49,1
10/02/2017,231.49,close,0.59,1
13/02/2017,232.08,open,0.6003,1
13/02/2017,232.6803,close,-0.1203,0
14/02/2017,232.56,open,1.1497,1
14/02/2017,233.7097,close,-0.2597,0
15/02/2017,233.45,open,1.44,1
15/02/2017,234.89,close,0.07,1
16/02/2017,234.96,open,-0.22,0
16/02/2017,234.74,close,-0.79,0
17/02/2017,233.95,open,1.09,1
17/02/2017,235.04,close,0.48,1
21/02/2017,235.52,open,0.92,1
21/02/2017,236.44,close,-0.42,0
22/02/2017,236.02,open,0.27,1
22/02/2017,236.29,close,0.59,1
23/02/2017,236.88,open,-0.44,0
23/02/2017,236.44,close,-0.98,0
24/02/2017,235.46,open,1.31,1
24/02/2017,236.77,close,-0.13,0
27/02/2017,236.64,open,0.45,1
27/02/2017,237.09,close,-0.42,0
28/02/2017,236.67,open,-0.17,0
28/02/2017,236.5,close,1.89,1
01/03/2017,238.39,open,1.3508,1
01/03/2017,239.7408,close,-0.1808,0
02/03/2017,239.56,open,-1.26,0
02/03/2017,238.3,close,-0.13,0
03/03/2017,238.17,open,0.26,1
03/03/2017,238.43,close,-0.93,0
06/03/2017,237.5,open,0.2892,1
06/03/2017,237.7892,close,-0.4292,0
07/03/2017,237.36,open,-0.36,0
07/03/2017,237,close,0.34,1
08/03/2017,237.34,open,-0.75,0
08/03/2017,236.59,close,0.11,1
09/03/2017,236.7,open,0.13,1
09/03/2017,236.83,close,1.14,1
10/03/2017,237.97,open,-0.31,0
10/03/2017,237.66,close,-0.04,0
